task,runner_task,capability,status,additional_task_gain_needed,frontier_source,model_id,role,model_family,architecture,scale,same_shape_group,source_type,merge_role,scenario,materialization_status,source_url,matched_keywords,capability_match_score,candidate_priority_score,average_policy,recommended_probe,acceptance_signal
gsm8k,gsm8k,math_reasoning,no_task_frontier_gain,0.0694444444444443,coder,Qwen/Qwen3-30B-A3B-Base,moe_base,Qwen3,qwen3_moe,30B-A3B,qwen3_moe_30b_a3b,official_base_moe,base_or_delta_reference,moe_30b_general_code_route_aware,ready_for_topology_inspect,https://huggingface.co/Qwen/Qwen3-30B-A3B-Base,math,0.49,0.97,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
gsm8k,gsm8k,math_reasoning,no_task_frontier_gain,0.0694444444444443,coder,hf_tree:Qwen/Qwen3-30B-A3B,moe_downstream_adapter_pool,Qwen3 downstream MoE ecosystem,qwen3_moe_or_adapter,30B-A3B,qwen3_moe_30b_a3b,downstream_adapter_finetune_pool,candidate_pool,moe_30b_downstream_adapter_average,manual_candidate_selection_required,https://huggingface.co/Qwen/Qwen3-30B-A3B,math,0.49,0.47,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
humaneval,humaneval_compile,code_generation_agentic,no_task_frontier_gain,0.0694444444444443,coder,a-m-team/AM-Thinking-v1,reasoning_rl_expert,AM-Thinking,dense_qwen2,32B,qwen2_dense_32b,third_party_sft_rl,downstream_expert,dense_32b_reasoning_long_reasoning,ready_for_topology_inspect,https://huggingface.co/a-m-team/AM-Thinking-v1,"code,livecodebench",0.78,1.1400000000000001,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
humaneval,humaneval_compile,code_generation_agentic,no_task_frontier_gain,0.0694444444444443,coder,Long1K-32B,long_reasoning_expert,Long1K,dense_qwen2,32B,qwen2_dense_32b,paper_downstream_finetune,optional_downstream_expert,dense_32b_reasoning_long_reasoning,manual_weight_id_resolution_required,https://arxiv.org/abs/2503.18069,code,0.61,0.61,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
humaneval,humaneval_compile,code_generation_agentic,no_task_frontier_gain,0.0694444444444443,coder,Qwen/Qwen2.5-Coder-7B-Instruct,code_expert,Qwen2.5-Coder,dense_qwen2,7B,qwen2_dense_7b,official_specialist,expert,dense_7b_general_code_math_reasoning,ready_for_topology_inspect,https://huggingface.co/Qwen/Qwen2.5-Coder-7B-Instruct,"code,coder,humaneval,mbpp,livecodebench",1.0,1.38,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
humaneval,humaneval_compile,code_generation_agentic,no_task_frontier_gain,0.0694444444444443,coder,Qwen/Qwen2.5-Math-7B-Instruct,math_expert,Qwen2.5-Math,dense_qwen2,7B,qwen2_dense_7b,official_specialist,expert,dense_7b_general_code_math_reasoning,ready_for_topology_inspect,https://huggingface.co/Qwen/Qwen2.5-Math-7B-Instruct,"code,tool",0.78,1.1600000000000001,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
humaneval,humaneval_compile,code_generation_agentic,no_task_frontier_gain,0.0694444444444443,coder,Qwen/Qwen3-Coder-30B-A3B-Instruct,moe_code_agent_expert,Qwen3-Coder,qwen3_moe,30B-A3B,qwen3_moe_30b_a3b,official_specialist_moe,expert,moe_30b_general_code_route_aware,ready_for_topology_inspect,https://huggingface.co/Qwen/Qwen3-Coder-30B-A3B-Instruct,"code,coder,humaneval,mbpp,livecodebench,tool,agent",1.0,1.48,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
humaneval,humaneval_compile,code_generation_agentic,no_task_frontier_gain,0.0694444444444443,coder,Qwen/Qwen3-30B-A3B,moe_general_anchor,Qwen3,qwen3_moe,30B-A3B,qwen3_moe_30b_a3b,official_posttrained_moe,anchor,moe_30b_general_code_route_aware,ready_for_topology_inspect,https://huggingface.co/Qwen/Qwen3-30B-A3B,"code,tool,agent",0.8300000000000001,1.31,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
humaneval,humaneval_compile,code_generation_agentic,no_task_frontier_gain,0.0694444444444443,coder,Qwen/Qwen3-30B-A3B-Thinking-2507,moe_thinking_reasoning_anchor,Qwen3,qwen3_moe,30B-A3B,qwen3_moe_30b_a3b,official_posttrained_moe,expert,measured_qwen3_moe_source_set,ready_for_endpoint_eval,https://huggingface.co/Qwen/Qwen3-30B-A3B-Thinking-2507,"code,coder",0.66,1.1400000000000001,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
humaneval,humaneval_compile,code_generation_agentic,no_task_frontier_gain,0.0694444444444443,coder,Qwen/Qwen3-30B-A3B-Base,moe_base,Qwen3,qwen3_moe,30B-A3B,qwen3_moe_30b_a3b,official_base_moe,base_or_delta_reference,moe_30b_general_code_route_aware,ready_for_topology_inspect,https://huggingface.co/Qwen/Qwen3-30B-A3B-Base,code,0.49,0.97,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
humaneval,humaneval_compile,code_generation_agentic,no_task_frontier_gain,0.0694444444444443,coder,hf_tree:Qwen/Qwen3-Coder-30B-A3B-Instruct,moe_coder_downstream_adapter_pool,Qwen3-Coder downstream MoE ecosystem,qwen3_moe_or_adapter,30B-A3B,qwen3_moe_30b_a3b,downstream_adapter_finetune_pool,candidate_pool,moe_30b_downstream_adapter_average,manual_candidate_selection_required,https://huggingface.co/Qwen/Qwen3-Coder-30B-A3B-Instruct,"code,coder,tool",0.8300000000000001,0.81,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
humaneval,humaneval_compile,code_generation_agentic,no_task_frontier_gain,0.0694444444444443,coder,hf_tree:Qwen/Qwen3-30B-A3B,moe_downstream_adapter_pool,Qwen3 downstream MoE ecosystem,qwen3_moe_or_adapter,30B-A3B,qwen3_moe_30b_a3b,downstream_adapter_finetune_pool,candidate_pool,moe_30b_downstream_adapter_average,manual_candidate_selection_required,https://huggingface.co/Qwen/Qwen3-30B-A3B,code,0.49,0.47,block_final_average_budget_and_search_or_eval_a_stronger_task_source,"host specialist endpoints, score the same task manifest, then recompute source surplus before changing MoE weights",task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
mmlu,mmlu,general_knowledge_instruction,gain_below_interference_budget,0.0444444444444443,thinking,Qwen/Qwen2.5-32B,base_anchor,Qwen2.5,dense_qwen2,32B,qwen2_dense_32b,official_base,base_or_delta_reference,dense_32b_reasoning_long_reasoning,ready_for_topology_inspect,https://huggingface.co/Qwen/Qwen2.5-32B,"mmlu,c-eval,cmmlu",0.91,1.29,expand_endpoint_eval_and_only_then_try_output_or_layer_chunk_alignment,increase task examples and compare source frontier against the observed interference budget,task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
mmlu,mmlu,general_knowledge_instruction,gain_below_interference_budget,0.0444444444444443,thinking,Qwen/Qwen2.5-32B-Instruct,general_instruction_anchor,Qwen2.5,dense_qwen2,32B,qwen2_dense_32b,official_posttrained,anchor,dense_32b_reasoning_long_reasoning,ready_for_topology_inspect,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,"general,instruction",0.74,1.12,expand_endpoint_eval_and_only_then_try_output_or_layer_chunk_alignment,increase task examples and compare source frontier against the observed interference budget,task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
mmlu,mmlu,general_knowledge_instruction,gain_below_interference_budget,0.0444444444444443,thinking,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,reasoning_distill_expert,DeepSeek-R1-Distill-Qwen,dense_qwen2,32B,qwen2_dense_32b,third_party_distill,downstream_expert,dense_32b_reasoning_long_reasoning,ready_for_topology_inspect,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,general,0.61,0.97,expand_endpoint_eval_and_only_then_try_output_or_layer_chunk_alignment,increase task examples and compare source frontier against the observed interference budget,task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
mmlu,mmlu,general_knowledge_instruction,gain_below_interference_budget,0.0444444444444443,thinking,DianJin-R1-32B,domain_finance_expert,DianJin-R1,dense_qwen2,32B,qwen2_dense_32b,paper_downstream_finetune,optional_downstream_expert,dense_32b_domain_extension,manual_weight_id_resolution_required,https://arxiv.org/abs/2504.15716,general,0.61,0.61,expand_endpoint_eval_and_only_then_try_output_or_layer_chunk_alignment,increase task examples and compare source frontier against the observed interference budget,task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
mmlu,mmlu,general_knowledge_instruction,gain_below_interference_budget,0.0444444444444443,thinking,Qwen/Qwen2.5-7B-Instruct,general_instruction_anchor,Qwen2.5,dense_qwen2,7B,qwen2_dense_7b,official_posttrained,anchor,dense_7b_general_code_math_reasoning,ready_for_topology_inspect,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,"general,instruction,mmlu,c-eval,cmmlu,ifeval,chat",1.0,1.38,expand_endpoint_eval_and_only_then_try_output_or_layer_chunk_alignment,increase task examples and compare source frontier against the observed interference budget,task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
mmlu,mmlu,general_knowledge_instruction,gain_below_interference_budget,0.0444444444444443,thinking,Qwen/Qwen2.5-Coder-7B-Instruct,code_expert,Qwen2.5-Coder,dense_qwen2,7B,qwen2_dense_7b,official_specialist,expert,dense_7b_general_code_math_reasoning,ready_for_topology_inspect,https://huggingface.co/Qwen/Qwen2.5-Coder-7B-Instruct,general,0.61,0.99,expand_endpoint_eval_and_only_then_try_output_or_layer_chunk_alignment,increase task examples and compare source frontier against the observed interference budget,task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
mmlu,mmlu,general_knowledge_instruction,gain_below_interference_budget,0.0444444444444443,thinking,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning_distill_expert,DeepSeek-R1-Distill-Qwen,dense_qwen2,7B,qwen2_dense_7b,third_party_distill,downstream_expert,dense_7b_general_code_math_reasoning,ready_for_topology_inspect,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,instruction,0.61,0.97,expand_endpoint_eval_and_only_then_try_output_or_layer_chunk_alignment,increase task examples and compare source frontier against the observed interference budget,task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
mmlu,mmlu,general_knowledge_instruction,gain_below_interference_budget,0.0444444444444443,thinking,DianJin-R1-7B,domain_finance_expert,DianJin-R1,dense_qwen2,7B,qwen2_dense_7b,paper_downstream_finetune,optional_downstream_expert,dense_7b_domain_extension,manual_weight_id_resolution_required,https://arxiv.org/abs/2504.15716,general,0.61,0.61,expand_endpoint_eval_and_only_then_try_output_or_layer_chunk_alignment,increase task examples and compare source frontier against the observed interference budget,task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
mmlu,mmlu,general_knowledge_instruction,gain_below_interference_budget,0.0444444444444443,thinking,hf_tree:Qwen/Qwen2.5-7B-Instruct,user_lab_adapter_pool,Qwen2.5 downstream ecosystem,dense_qwen2_or_adapter,7B,qwen2_dense_7b,downstream_adapter_finetune_pool,candidate_pool,dense_7b_domain_extension,manual_candidate_selection_required,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,chat,0.49,0.37,expand_endpoint_eval_and_only_then_try_output_or_layer_chunk_alignment,increase task examples and compare source frontier against the observed interference budget,task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
mmlu,mmlu,general_knowledge_instruction,gain_below_interference_budget,0.0444444444444443,thinking,Qwen/Qwen3-30B-A3B,moe_general_anchor,Qwen3,qwen3_moe,30B-A3B,qwen3_moe_30b_a3b,official_posttrained_moe,anchor,moe_30b_general_code_route_aware,ready_for_topology_inspect,https://huggingface.co/Qwen/Qwen3-30B-A3B,"general,instruction",0.74,1.2200000000000002,expand_endpoint_eval_and_only_then_try_output_or_layer_chunk_alignment,increase task examples and compare source frontier against the observed interference budget,task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
mmlu,mmlu,general_knowledge_instruction,gain_below_interference_budget,0.0444444444444443,thinking,Qwen/Qwen3-30B-A3B-Thinking-2507,moe_thinking_reasoning_anchor,Qwen3,qwen3_moe,30B-A3B,qwen3_moe_30b_a3b,official_posttrained_moe,expert,measured_qwen3_moe_source_set,ready_for_endpoint_eval,https://huggingface.co/Qwen/Qwen3-30B-A3B-Thinking-2507,mmlu,0.57,1.05,expand_endpoint_eval_and_only_then_try_output_or_layer_chunk_alignment,increase task examples and compare source frontier against the observed interference budget,task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
mmlu,mmlu,general_knowledge_instruction,gain_below_interference_budget,0.0444444444444443,thinking,Qwen/Qwen3-30B-A3B-Base,moe_base,Qwen3,qwen3_moe,30B-A3B,qwen3_moe_30b_a3b,official_base_moe,base_or_delta_reference,moe_30b_general_code_route_aware,ready_for_topology_inspect,https://huggingface.co/Qwen/Qwen3-30B-A3B-Base,general,0.49,0.97,expand_endpoint_eval_and_only_then_try_output_or_layer_chunk_alignment,increase task examples and compare source frontier against the observed interference budget,task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
mmlu,mmlu,general_knowledge_instruction,gain_below_interference_budget,0.0444444444444443,thinking,hf_tree:Qwen/Qwen3-30B-A3B,moe_downstream_adapter_pool,Qwen3 downstream MoE ecosystem,qwen3_moe_or_adapter,30B-A3B,qwen3_moe_30b_a3b,downstream_adapter_finetune_pool,candidate_pool,moe_30b_downstream_adapter_average,manual_candidate_selection_required,https://huggingface.co/Qwen/Qwen3-30B-A3B,general,0.49,0.47,expand_endpoint_eval_and_only_then_try_output_or_layer_chunk_alignment,increase task examples and compare source frontier against the observed interference budget,task_source_frontier_gain_minus_observed_interference_budget_must_be_nonnegative
