stage,cap_label,method,command,expected_output,purpose
materialize_checkpoint,cap0025,qwen3_moe_router_calibrated_searched_no_gt065_cap0025_candidate,python scripts/write_same_shape_average_checkpoint.py --base results/checkpoints/qwen3_moe_searched_no_gt065_max_retention_candidate --source same=/srv/home/bohanlyu/visualizing-model-merging/results/checkpoints/qwen3_moe_searched_no_gt065_max_retention_candidate --source-weight same=0.0 --freeze-router --tensor-delta-safetensors results/qwen3_moe_router_calibration_job/delta_cap0025/router_delta.safetensors --output-dir results/checkpoints/qwen3_moe_router_calibrated_searched_no_gt065_cap0025_candidate,results/checkpoints/qwen3_moe_router_calibrated_searched_no_gt065_cap0025_candidate,Apply only the calibrated router delta to the searched no-gt-0.65 student checkpoint.
audit_delta,cap0025,qwen3_moe_router_calibrated_searched_no_gt065_cap0025_candidate,python scripts/audit_materialized_checkpoint_delta.py --base results/checkpoints/qwen3_moe_searched_no_gt065_max_retention_candidate --candidate results/checkpoints/qwen3_moe_router_calibrated_searched_no_gt065_cap0025_candidate --output-dir results/qwen3_moe_router_calibration_job/audit_cap0025,results/qwen3_moe_router_calibration_job/audit_cap0025,Verify the new checkpoint only moves intended tensors and records delta norms.
vllm_eval,cap0025,qwen3_moe_router_calibrated_searched_no_gt065_cap0025_candidate,"python scripts/run_vllm_downstream_eval.py --base-url http://127.0.0.1:8109/v1 --models candidate_qwen3_moe_router_calibrated_searched_no_gt065_cap0025_candidate --tasks gsm8k,mmlu,safety,humaneval_compile --example-source datasets --max-examples 64 --output-dir results/vllm_checkpoint_eval/qwen3_moe_router_calibrated_searched_no_gt065_cap0025_candidate --task-manifest /srv/home/bohanlyu/visualizing-model-merging/results/qwen3_moe_router_calibration_job/task_manifest.json --create-task-manifest-if-missing",results/vllm_checkpoint_eval/qwen3_moe_router_calibrated_searched_no_gt065_cap0025_candidate,Run downstream tasks against the router-calibrated ablation candidate.
train_router_delta,cap005,qwen3_moe_router_calibrated_searched_no_gt065_cap005_candidate,python scripts/train_moe_router_delta_calibration.py --base results/checkpoints/qwen3_moe_searched_no_gt065_max_retention_candidate --cache results/qwen3_moe_router_calibration_job/cache/router_calibration_cache.pt --output-dir results/qwen3_moe_router_calibration_job/delta_cap005 --epochs 120 --lr 0.05 --temperature 1.0 --top-k 8 --capacity-factor 1.25 --top1-loss-coef 0.25 --capacity-loss-coef 0.1 --trust-l2-coef 0.001 --max-relative-norm 0.05,results/qwen3_moe_router_calibration_job/delta_cap005/router_delta.safetensors,Train same-shape additive router delta under the cap-specific relative norm.
materialize_checkpoint,cap005,qwen3_moe_router_calibrated_searched_no_gt065_cap005_candidate,python scripts/write_same_shape_average_checkpoint.py --base results/checkpoints/qwen3_moe_searched_no_gt065_max_retention_candidate --source same=/srv/home/bohanlyu/visualizing-model-merging/results/checkpoints/qwen3_moe_searched_no_gt065_max_retention_candidate --source-weight same=0.0 --freeze-router --tensor-delta-safetensors results/qwen3_moe_router_calibration_job/delta_cap005/router_delta.safetensors --output-dir results/checkpoints/qwen3_moe_router_calibrated_searched_no_gt065_cap005_candidate,results/checkpoints/qwen3_moe_router_calibrated_searched_no_gt065_cap005_candidate,Apply only the calibrated router delta to the searched no-gt-0.65 student checkpoint.
audit_delta,cap005,qwen3_moe_router_calibrated_searched_no_gt065_cap005_candidate,python scripts/audit_materialized_checkpoint_delta.py --base results/checkpoints/qwen3_moe_searched_no_gt065_max_retention_candidate --candidate results/checkpoints/qwen3_moe_router_calibrated_searched_no_gt065_cap005_candidate --output-dir results/qwen3_moe_router_calibration_job/audit_cap005,results/qwen3_moe_router_calibration_job/audit_cap005,Verify the new checkpoint only moves intended tensors and records delta norms.
vllm_eval,cap005,qwen3_moe_router_calibrated_searched_no_gt065_cap005_candidate,"python scripts/run_vllm_downstream_eval.py --base-url http://127.0.0.1:8110/v1 --models candidate_qwen3_moe_router_calibrated_searched_no_gt065_cap005_candidate --tasks gsm8k,mmlu,safety,humaneval_compile --example-source datasets --max-examples 64 --output-dir results/vllm_checkpoint_eval/qwen3_moe_router_calibrated_searched_no_gt065_cap005_candidate --task-manifest /srv/home/bohanlyu/visualizing-model-merging/results/qwen3_moe_router_calibration_job/task_manifest.json --create-task-manifest-if-missing",results/vllm_checkpoint_eval/qwen3_moe_router_calibrated_searched_no_gt065_cap005_candidate,Run downstream tasks against the router-calibrated ablation candidate.
train_router_delta,margin_profile,qwen3_moe_router_calibrated_searched_no_gt065_margin_profile_candidate,python scripts/train_moe_router_delta_calibration.py --base results/checkpoints/qwen3_moe_searched_no_gt065_max_retention_candidate --cache results/qwen3_moe_router_calibration_job/cache/router_calibration_cache.pt --output-dir results/qwen3_moe_router_calibration_job/delta_margin_profile --epochs 120 --lr 0.05 --temperature 1.0 --top-k 8 --capacity-factor 1.25 --top1-loss-coef 0.25 --capacity-loss-coef 0.1 --trust-l2-coef 0.001 --max-relative-norm 0.05 --router-cap-table results/qwen3_moe_router_calibration_job/router_margin_profile_caps.csv --router-cap-column max_relative_norm_cap,results/qwen3_moe_router_calibration_job/delta_margin_profile/router_delta.safetensors,Train same-shape additive router delta under the cap-specific relative norm.
materialize_checkpoint,margin_profile,qwen3_moe_router_calibrated_searched_no_gt065_margin_profile_candidate,python scripts/write_same_shape_average_checkpoint.py --base results/checkpoints/qwen3_moe_searched_no_gt065_max_retention_candidate --source same=/srv/home/bohanlyu/visualizing-model-merging/results/checkpoints/qwen3_moe_searched_no_gt065_max_retention_candidate --source-weight same=0.0 --freeze-router --tensor-delta-safetensors results/qwen3_moe_router_calibration_job/delta_margin_profile/router_delta.safetensors --output-dir results/checkpoints/qwen3_moe_router_calibrated_searched_no_gt065_margin_profile_candidate,results/checkpoints/qwen3_moe_router_calibrated_searched_no_gt065_margin_profile_candidate,Apply only the calibrated router delta to the searched no-gt-0.65 student checkpoint.
audit_delta,margin_profile,qwen3_moe_router_calibrated_searched_no_gt065_margin_profile_candidate,python scripts/audit_materialized_checkpoint_delta.py --base results/checkpoints/qwen3_moe_searched_no_gt065_max_retention_candidate --candidate results/checkpoints/qwen3_moe_router_calibrated_searched_no_gt065_margin_profile_candidate --output-dir results/qwen3_moe_router_calibration_job/audit_margin_profile,results/qwen3_moe_router_calibration_job/audit_margin_profile,Verify the new checkpoint only moves intended tensors and records delta norms.
vllm_eval,margin_profile,qwen3_moe_router_calibrated_searched_no_gt065_margin_profile_candidate,"python scripts/run_vllm_downstream_eval.py --base-url http://127.0.0.1:8111/v1 --models candidate_qwen3_moe_router_calibrated_searched_no_gt065_margin_profile_candidate --tasks gsm8k,mmlu,safety,humaneval_compile --example-source datasets --max-examples 64 --output-dir results/vllm_checkpoint_eval/qwen3_moe_router_calibrated_searched_no_gt065_margin_profile_candidate --task-manifest /srv/home/bohanlyu/visualizing-model-merging/results/qwen3_moe_router_calibration_job/task_manifest.json --create-task-manifest-if-missing",results/vllm_checkpoint_eval/qwen3_moe_router_calibrated_searched_no_gt065_margin_profile_candidate,Run downstream tasks against the router-calibrated ablation candidate.
select_router_calibration_result,all,router_calibration_selection,python scripts/select_qwen3_moe_router_calibration_result.py --job-dir /srv/home/bohanlyu/visualizing-model-merging/results/qwen3_moe_router_calibration_job --output-dir /srv/home/bohanlyu/visualizing-model-merging/results/qwen3_moe_router_calibration_selection --baseline-eval-dir results/vllm_checkpoint_eval/qwen3_moe_searched_no_gt065_max_retention_candidate --router-margin-fragility-summary results/qwen3_moe_router_margin_fragility/summary.json --router-margin-tolerance 0.02 --source-eval-dir results/vllm_checkpoint_eval/source_qwen3_30b_instruct --source-eval-dir results/vllm_checkpoint_eval/source_qwen3_30b_coder,results/qwen3_moe_router_calibration_selection/summary.json,"Select or reject router calibration using matched vLLM scores, router-only audit, and cap gates."
